Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Alabama,US,32.3182,-86.9023,1/1/2021,365747,4872,202137
Alaska,US,61.3707,-152.4044,1/1/2021,47019,206,7165
American Samoa,US,-14.271,-170.132,1/1/2021,0,0,0
Arizona,US,33.7298,-111.4312,1/1/2021,530267,9015,76934
Arkansas,US,34.9697,-92.3731,1/1/2021,229442,3711,199247
California,US,36.1162,-119.6816,1/1/2021,2434946,26258,0
Colorado,US,39.0598,-105.3111,1/1/2021,362438,5435,18102
Connecticut,US,41.5978,-72.7554,1/1/2021,185708,5995,9800
Delaware,US,39.3185,-75.5071,1/1/2021,58064,1065,18851
District of Columbia,US,38.8974,-77.0268,1/1/2021,29252,788,20941
